15	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								5	4	4	4	4	4	4	4	4	5	5	4	4	4	4	5	5	4	4	5	5	5	5	4	5	5	5	4	5	5				En casa se tiene un botiquien,extintor y respetar las señales de transito.
16	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								4	5	3	4	4	3	4	4	5	4	5	5	4	5	4	4	5	4	3	3	3	4	5	4	5	4	4	4	3	3				Importancia de implementar un extintor por los accidentes transmitidos en TV.
17	Con personal a cargo	3. Jefes de Área	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								4	4	4	4	4	4	4	4	5	5	4	5	5	5	4	4	4	5	4	4	4	4	4	4	5	4	4	4	4	4				Aislando las canaletas de cables electricos
18	Con personal a cargo	2. Supervisores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								4	3	4	4	3	4	4	5	4	3	2	4	5	4	4	4	5	4	4	3	5	4	4	3	4	4	4	3	4	4				practicando las 5s
19	Con personal a cargo	2. Supervisores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								5	4	5	5	5	4	3	3	4	5	5	5	5	5	5	4	4	3	4	2	3	3		4	5	4	3	2	5	5				
20	Con personal a cargo	2. Supervisores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								3	4	4	4	4	4	4	4	4	4	4	5	5	5	4	5	3	4	4	5	4	4	3	4	4	5	4	2	4	4				hablar sobre la descarga de energia de algun interruptor
21	Con personal a cargo	2. Supervisores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								4	4	5	5	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5	4	4	4	4	5	5	5	4	3	5	5				Le enseño a mis hijos a valorarnos como personas
22	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								3	2	5	3	5	5	5	5	3	5	4	5	5	5	4	5	5	5	5	4	3	4	5	3	4	4	4		4	4				Respetar la señalización
23	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								4	3	3	4	4	4	5	4	5	4	5	5	5	5	4	3	4	3	5	2	3	4	5	4	5	4	4	4	3	3				Conversa sobre los riesgos que se pueda pasar por inseguridad
24	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								5	5	5	5	5	5	5	5	2	5	5	5	5	5	5	5	5	5	5	5	5	5	2	5	5	4	3	2	5	5				Uso de tres puntos de apoyo
25	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	GEOLOGIA	CONTRATISTA								3	3	5	5	5	5	4	5	5	4	5	5	5	5	5	5	5	5	5	4	4	3	5	5	5	5	4	4	5	5				Le explico a mis  hijos la manipulación de cosas electricas y subir o bajar escaleras
26	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								2	3	2	3	2	2	2	2	2	3	4	5	3	3	2	2	3	3	3	2	2	3	2	3	2	3	2	2	4	4				
27	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								5	3	5	5	5	5	5	3	5	4	5	5	5	5	5	3	5	5	3	3	5	3	3	5	5	5	5	2	5	5				
28	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								5	5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	3				La seguridad es importante
29	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Si hablar de los 3 puntos de apoyo
30	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								3	3	4	3	4	4	3	4	4	5	3	5	4	5	4	3	5	5	4	3	3	4	2	4	4	4	5	3	5	5				Sobre los 3 puntos de apoyo en las escaleras
31	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								2	3	3	1	2	2	3	3	2	4	4	4	3	3	4	4	4	4	3	2	2	2	2	4	3	3	4	2	4	4				Barandas en mi casa
32	Con personal a cargo	2. Supervisores	TITULAR MINERO	PLANTA CONCENTRADORA	RAURA								5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				Si, en el tema del gas, la apetura de la valvula al momento de utilizar la cocina es muy importante rotular
